Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Kanada;Darlington 2;934;Ciê¿kowodny;PHWR;CANDU 850;Energetyczny;09.paŸ.90;;;2050;","
Ameryka Pó³nocna;Kanada;Darlington 3;934;Ciê¿kowodny;PHWR;CANDU 850;Energetyczny;14.lut.93;;;2053;","
Ameryka Pó³nocna;Kanada;Darlington 4;934;Ciê¿kowodny;PHWR;CANDU 850;Energetyczny;14.cze.93;;;2053;","
Ameryka Pó³nocna;Kanada;Douglas Point;218;Ciê¿kowodny;PHWR;CANDU 200;Energetyczny;26.wrz.68;1984;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Gentilly 1;266;Ciê¿kowodny;SGHWR;CANDU BLW-250;Energetyczny;01.maj.72;1977;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Gentilly 2;675;Ciê¿kowodny;PHWR;CANDU 6;Energetyczny;01.wrz.83;2012;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;NPD;25;Ciê¿kowodny;PHWR;CANDU prototype;Energetyczny;04.cze.62;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Pickering A 1;542;Ciê¿kowodny;PHWR;CANDU 500A;Energetyczny;29.lip.71;;;2022;","
Ameryka Pó³nocna;Kanada;Pickering A 2;542;Ciê¿kowodny;PHWR;CANDU 500A;Energetyczny;30.gru.71;1997;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Pickering A 3;542;Ciê¿kowodny;PHWR;CANDU 500A;Energetyczny;01.cze.72;1997;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Pickering A 4;542;Ciê¿kowodny;PHWR;CANDU 500A;Energetyczny;17.cze.73;;;2022;","
Ameryka Pó³nocna;Kanada;Pickering B 5;540;Ciê¿kowodny;PHWR;CANDU 500B;Energetyczny;10.maj.83;;;2024;","
Ameryka Pó³nocna;Kanada;Pickering B 6;540;Ciê¿kowodny;PHWR;CANDU 500B;Energetyczny;01.lut.84;;;2024;","
