Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;N-Reactor;;Wodno-grafitowy;;;Produkcja plutonu/Energetyczny;1963;gru.86;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Nine Mile Point-1;642;Lekkowodny;BWR;BWR-2 (Mark 1);Energetyczny;26.gru.74;;;2029;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Nine Mile Point-2;1320;Lekkowodny;BWR;BWR-5 (Mark 2);Energetyczny;02.lip.87;;;2046;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;North Anna-1;990;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;06.cze.78;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;North Anna-2;1011;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;14.gru.80;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oconee-1;891;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;15.lip.73;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oconee-2;891;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;09.wrz.74;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oconee-3;900;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;16.gru.74;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oyster Creek;652;Lekkowodny;BWR;BWR-2 (Mark 1);Energetyczny;23.gru.69;17.wrz.18;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Palisades;850;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;31.gru.71;;;2022;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Palo Verde-1;1414;Lekkowodny;PWR;CE80 2-loop (DRYAMB);Energetyczny;28.sty.86;;;2046;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Palo Verde-2;1414;Lekkowodny;PWR;CE80 2-loop (DRYAMB);Energetyczny;19.wrz.86;;;2046;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Palo Verde-3;1414;Lekkowodny;PWR;CE80 2-loop (DRYAMB);Energetyczny;08.sty.88;;;2048;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Parr;17;Ciê¿kowodny;PHWR;CVTR;Energetyczny;18.gru.63;10.sty.67;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Pathfinder;63;Lekkowodny;BWR;BWR;Energetyczny;lip.66;paŸ.67;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Peach Bottom-1;42;Grafitowo-gazowy;HTGR;Prototype;Energetyczny;01.cze.67;01.lis.74;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Peach Bottom-2;1412;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;05.lip.74;;;2033;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Peach Bottom-3;1412;Lekkowodny;BWR;BWR-4 (Mark 1);Energetyczny;23.gru.74;;;2034;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Perry;1303;Lekkowodny;BWR;BWR-6 (Mark 3);Energetyczny;18.lis.87;;;18.mar.26;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Pilgrim;711;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;09.gru.72;31.maj.19;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Piqua;12;;;X;Energetyczny;1963;1966;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Point Beach-1;640;Lekkowodny;PWR;WH 2-loop (DRYAMB);Energetyczny;21.gru.70;;;2030;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Point Beach-2;640;Lekkowodny;PWR;WH 2-loop (DRYAMB);Energetyczny;01.paŸ.72;;;2032;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Prairie Island-1;566;Lekkowodny;PWR;WH 2-loop (DRYAMB);Energetyczny;16.gru.73;;;2033;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Prairie Island-2;560;Lekkowodny;PWR;WH 2-loop (DRYAMB);Energetyczny;21.gru.74;;;2034;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Quad Cities-1;940;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;18.lut.73;;;14.gru.32;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Quad Cities-2;940;Lekkowodny;BWR;BWR-3 (Mark 1);Energetyczny;10.mar.73;;;14.gru.32;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Rancho Seco;917;Lekkowodny;PWR;;Energetyczny;17.kwi.75;23.paŸ.09;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;River Bend;1016;Lekkowodny;BWR;BWR-6 (Mark 3 Containment);Energetyczny;16.cze.86;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Salem-1;1254;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;30.cze.77;;;13.sie.36;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Salem-2;1200;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;31.paŸ.81;;;18.kwi.40;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;San Onofre-1;456;Lekkowodny;PWR;;Energetyczny;01.sty.68;30.lis.92;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;San Onofre-2;1127;Lekkowodny;PWR;;Energetyczny;08.sie.83;07.cze.13;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;San Onofre-3;1127;Lekkowodny;PWR;;Energetyczny;01.kwi.84;07.cze.13;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Saxton;3;Lekkowodny;PWR;;Badawczo/Energetyczny;lis.61;maj.72;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Seabrook Station;1296;Lekkowodny;PWR;WH 4LP (DRYAMB);Energetyczny;15.mar.90;;;2050;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Sequoyah-1;1221;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;01.lip.81;;;2041;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Sequoyah-2;1200;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;01.cze.82;;;2042;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shearon Harris A-1;960;Lekkowodny;PWR;WH 3-loop (DRYAMB);Energetyczny;02.maj.87;;;2047;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shearon Harris A-2;960;Lekkowodny;PWR;WH 3-loop (DRYAMB);Energetyczny;;;;;Budowa reaktora anulowana 1 Grudnia 1983 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shearon Harris A-3;960;Lekkowodny;PWR;WH 3-loop (DRYAMB);Energetyczny;;;;;Budowa reaktora anulowana 1 Grudnia 1981 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shearon Harris A-4;960;Lekkowodny;PWR;WH 3-loop (DRYAMB);Energetyczny;;;;;Budowa reaktora anulowana 1 Grudnia 1981 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shippingport;68;Lekkowodny;PWR;;Energetyczny;26.maj.58;gru.90;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Shoreham;849;Lekkowodny;BWR;;Energetyczny;01.sie.86;01.maj.89;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Sodium Reactor Experiment;6,5;Prêdki;FBR;;Badawczo/Energetyczny;12.lip.57;15.lut.64;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;South Texas-1;1354;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;25.sie.88;;;20.sie.47;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;South Texas-2;1354;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;19.cze.89;;;15.gru.48;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;St. Lucie-1;1045;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;01.mar.76;;;01.mar.36;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;St. Lucie-2;1050;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;10.cze.83;;;06.kwi.43;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Surry-1;890;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;22.gru.72;;;2052;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Surry-2;890;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;01.maj.73;;;2053;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Susquehanna-1;1330;Lekkowodny;BWR;BWR-4 (Mark 2);Energetyczny;12.lis.82;;;2042;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Susquehanna-2;1330;Lekkowodny;BWR;BWR-4 (Mark 2);Energetyczny;27.cze.84;;;2044;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Three Mile Island-1;880;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;02.wrz.74;;;19.kwi.34;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Three Mile Island-1;959;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;30.gru.78;28.mar.79;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Trojan;1155;Lekkowodny;PWR;;Energetyczny;20.maj.76;09.lis.92;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Turkey Point-3;829;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;14.gru.72;;;2032;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Turkey Point-4;829;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;07.wrz.73;;;2033;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vallecitos;;Lekkowodny;BWR;;Energetyczny;paŸ.57;gru.63;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vermont Yankee;635;Lekkowodny;BWR;BWR-4/Mark I containment;Energetyczny;30.lis.72;29.gru.14;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Virgil C. Summer-1;1006;Lekkowodny;PWR;WH 3-Loop;Energetyczny;01.sty.84;;;2042;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Virgil C. Summer-2;1250;Lekkowodny;PWR;AP1000;Energetyczny;;;;;Budowa reaktora przerwana 31 Lipca 2017 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Virgil C. Summer-3;1250;Lekkowodny;PWR;AP1000;Energetyczny;;;;;Budowa reaktora przerwana 31 Lipca 2017 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vogtle-1;1229;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;01.cze.87;;;16.sty.47;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vogtle-2;1229;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;20.maj.89;;;09.lut.49;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vogtle-3;1250;Lekkowodny;PWR;AP1000;Energetyczny;;;2021;;W budowie","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Vogtle-4;1250;Lekkowodny;PWR;AP1000;Energetyczny;;;2022;;W budowie","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Waterford-3;1250;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;24.wrz.85;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Watts Bar-1;1210;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;27.maj.96;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Watts Bar-2;1218;Lekkowodny;PWR;WH 4-loop (ICECND);Energetyczny;04.cze.16;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Wolf Creek;1285;Lekkowodny;PWR;WH 4-loop (DRYAMB);Energetyczny;03.wrz.85;;;2045;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Yankee Rowe;180;Lekkowodny;PWR;;Energetyczny;1960;26.lut.92;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Zion-1;1085;Lekkowodny;PWR;Westinghouse 4-loop;Energetyczny;cze.73;13.lut.98;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Zion-2;1085;Lekkowodny;PWR;Westinghouse 4-loop;Energetyczny;gru.73;13.lut.98;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;250 MWt;Wodno-grafitowy;;B Reactor;Produkcja plutonu do celów zbrojeniowych;wrz.44;lut.68;;;Reaktor wy³¹czony, zachowany jako obiekt muzealny","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;F Reactor;Produkcja plutonu do celów zbrojeniowych;lut.45;cze.65;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;D Reactor;Produkcja plutonu do celów zbrojeniowych;gru.44;cze.67;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;DR Reactor;Produkcja plutonu do celów zbrojeniowych;1950;1964;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;H Reactor;Produkcja plutonu do celów zbrojeniowych;paŸ.49;kwi.65;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;C Reactor;Produkcja plutonu do celów zbrojeniowych;1952;1969;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;K-East;Produkcja plutonu do celów zbrojeniowych;kwi.55;1970;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;K-West;Produkcja plutonu do celów zbrojeniowych;sty.55;1971;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;;Wodno-grafitowy;;N-Reactor;Produkcja plutonu do celów zbrojeniowych/Energetyczny;1963;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;;Ciê¿kowodny;;R Reactor;Produkcja plutonu do celów zbrojeniowych;gru.53;cze.64;;;Reaktor nieu¿ywany, pod sta³ym nadzorem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;;Ciê¿kowodny;;P Reactor;Produkcja plutonu do celów zbrojeniowych;lut.54;sie.88;;;Reaktor nieu¿ywany, pod sta³ym nadzorem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;;Ciê¿kowodny;;K Reactor;Produkcja plutonu do celów zbrojeniowych;paŸ.54;lip.92;;;Reaktor nieu¿ywany, pod sta³ym nadzorem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;;Ciê¿kowodny;;L Reactor;Produkcja plutonu do celów zbrojeniowych;lip.54;cze.88;;;Reaktor nieu¿ywany, pod sta³ym nadzorem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;;Ciê¿kowodny;;C Reactor;Produkcja plutonu do celów zbrojeniowych;mar.55;cze.85;;;Reaktor nieu¿ywany, pod sta³ym nadzorem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Fort Belvoir, Virginia;2;Lekkowodny;;SM-1;Wojskowy program ma³ych reaktorów j¹drowych;08.kwi.57;mar.73;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;National Reactor Testing Station, Idaho;0,2;Lekkowodny;BWR;SL-1;Wojskowy program ma³ych reaktorów j¹drowych;11.sie.58;03.sty.61;;;Reaktor uleg³ eksplozji","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Camp Century, Greenland;2;;;PM-2A;Wojskowy program ma³ych reaktorów j¹drowych;03.paŸ.60;1963-1964;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Aerojet General Corporation;0,14;Grafitowo-gazowy;;ML-1;Wojskowy program ma³ych reaktorów j¹drowych;30.mar.61;1965;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Sundance Air Force Station, Wyoming;1,25;Lekkowodny;PWR;PM-1;Wojskowy program ma³ych reaktorów j¹drowych;25.lut.62;1968;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Fort Greely, Alaska;2;;;SM-1A;Wojskowy program ma³ych reaktorów j¹drowych;13.mar.62;1972;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Naval Reactors Facility;;Lekkowodny;PWR;A1W reactor;Reaktor okrêtowy;paŸ.58;26.sty.94;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Enterprise (CVN-65);;Lekkowodny;PWR;A2W reactor;Reaktor okrêtowy;1961;2017;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Naval Reactors Facility;;Lekkowodny;PWR;A3W reactor;Reaktor okrêtowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Nimitz-class aircraft carrier;100;Lekkowodny;PWR;A4W reactor;Reaktor okrêtowy;1975;;;;Reaktory w u¿yciu na 10 okrêtach","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Gerald R. Ford-class aircraft carrier;125;Lekkowodny;PWR;A1B reactor;Reaktor okrêtowy;2017;;;;Reaktory w u¿yciu na 1 okrêcie","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Long Beach (CGN-9);;Lekkowodny;PWR;C1W reactor;Reaktor okrêtowy;1959;1995;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Knolls Atomic Power Laboratory, West Milton, New York;;Lekkowodny;PWR;D1G reactor;Reaktor okrêtowy;1962;1996;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Bainbridge-class cruiser, Truxtun-class cruiser, California-class cruiser, Virginia-class cruiser;148 MWt;Lekkowodny;PWR;D2G reactor;Reaktor okrêtowy;1961;;;;Reaktory wy³¹czone","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;American submarine NR-1;;Lekkowodny;PWR;NR-1 reactor;Reaktor okrêtu podwodnego;25.sty.69;21.lis.08;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Windsor, Connecticut;;Lekkowodny;PWR;S1C reactor;Reaktor okrêtu podwodnego;1959;1993;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kesselring site;;Prêdki;;S1G reactor;Reaktor okrêtu podwodnego;;;;;Reaktor wy³¹czony po wycieku sodu","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Naval Reactors Facility;;Lekkowodny;PWR;S1W reactor;Reaktor okrêtu podwodnego;30.mar.53;17.paŸ.89;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Tullibee (SSN-597);;Lekkowodny;PWR;S2C reactor;Reaktor okrêtu podwodnego;27.kwi.60;25.cze.88;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Seawolf (SSN-575);;Prêdki;;S2G reactor;Reaktor okrêtu podwodnego;lut.57;gru.58;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Nautilus (SSN-571);;Lekkowodny;PWR;S2W reactor;Reaktor okrêtu podwodnego;1954;1980;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Seawolf (SSN-575);;Lekkowodny;PWR;S2Wa reactor;Reaktor okrêtu podwodnego;1960;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kesselring site;78;Lekkowodny;PWR;S3G reactor;Reaktor okrêtu podwodnego;1958;1992;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Skate (SSN-578), USS Sargo (SSN-583), USS Halibut (SSGN-587);;Lekkowodny;PWR;S3W reactor;Reaktor okrêtu podwodnego;1959;1988;;;Reaktory wy³¹czone","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Triton (SSRN-586);;Lekkowodny;PWR;S4G reactor;Reaktor okrêtu podwodnego;1956;1969;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;USS Swordfish (SSN-579), USS Seadragon (SSN-584);;Lekkowodny;PWR;S4W reactor;Reaktor okrêtu podwodnego;1957;1989;;;Reaktory wy³¹czone","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Naval Reactors Facility, USS Narwhal (SSN-671);;Lekkowodny;PWR;S5G reactor;Reaktor okrêtu podwodnego;1967;1999;;;Reaktory wy³¹czone","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Skipjack-class, George Washington-class, Thresher/Permit-class, Ethan Allen-class, Lafayette-class, James Madison-class, Benjamin Franklin-class, Sturgeon-class , USS Parche (SSN-683), USS Glenard P. Lipscomb (SSN-685);;Lekkowodny;PWR;S5W reactor;Reaktor okrêtu podwodnego;1959;;;;Kilka reaktorów wci¹¿ pozostaje w u¿ytku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Los Angeles-class submarine (SSN-688 class);165 MWt;Lekkowodny;PWR;S6G reactor;Reaktor okrêtu podwodnego;1976;;;;Reaktory w u¿yciu na 32 okrêtach podwodnych","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Seawolf-class submarine (SSN-21 class);;Lekkowodny;PWR;S6W reactor;Reaktor okrêtu podwodnego;1997;;;;Reaktory w u¿yciu na 3 okrêtach podwodnych","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kesselring site;;Lekkowodny;PWR;S7G reactor;Reaktor okrêtu podwodnego;Lata 1970;Lata 1980;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Ohio-class submarines (SSBN-726 class);220 MWt;Lekkowodny;PWR;S8G reactor;Reaktor okrêtu podwodnego;1981;;;;Reaktory w u¿yciu na 18 okrêtach podwodnych","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Virginia-class submarine (SSN-774 class);150 MWt;Lekkowodny;PWR;S9G reactor;Reaktor okrêtu podwodnego;2004;;;;Reaktory w u¿yciu na 17 okrêtach podwodnych","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Arkansas-Southwest Experimental Fast Oxide Reactor, Arkansas;20 MWt;Prêdki;FBR;SEFOR;Badawczy wojskowy;1969;1972;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;ALPR;Badawczy wojskowy;1958;1961;;;Reaktor zniszczony w wyniku eksplozji","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;AFSR;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);1,4 MWt;Lekkowodny;BWR;BORAX-I;Badawczy wojskowy;1952;1954;;;Celowo doprowadzony do eksplozji","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);6 MWt;Lekkowodny;BWR;BORAX-II;Badawczy wojskowy;1954;mar.55;;;Celowo doprowadzony do eksplozji","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);2;Lekkowodny;BWR;BORAX-III;Badawczy wojskowy;1955;1956;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);20 MWt;Lekkowodny;BWR;BORAX-IV;Badawczy wojskowy;1956;;;;Reaktor zniszczony w wyniku eksplozji","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;Lekkowodny;BWR;BORAX-V;Badawczy wojskowy;1962;1964;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;CP-1/CP-2;Badawczy wojskowy;02.gru.42;1943;;;Pierwszy reaktor j¹drowy na œwiecie stworzony przez cz³owieka","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;Ciê¿kowodny;;CP-3;Badawczy wojskowy;15.maj.44;1954;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);5 MWt;Ciê¿kowodny;;CP-5;Badawczy wojskowy;1954;1979;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0,2;Prêdki;FBR;EBR-I;Badawczy wojskowy;20.gru.51;1964;;;Reaktor wy³¹czony, 1 reaktor typu FBR na œwiecie","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);20;Prêdki;FBR;EBR-II;Badawczy wojskowy;lip.64;1994;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;Lekkowodny;BWR;EBWR;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;Prêdki;FBR;LMFBR;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;JANUS reactor;Badawczy wojskowy;;1992;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;JUGGERNAUT;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
